Region,Estimated Unemployment Rate (%)
Andhra Pradesh,3.65
Andhra Pradesh,3.05
Andhra Pradesh,3.75
Andhra Pradesh,3.32
Andhra Pradesh,5.17
Andhra Pradesh,3.52
Andhra Pradesh,4.12
Andhra Pradesh,4.38
Andhra Pradesh,4.84
Andhra Pradesh,5.91
Andhra Pradesh,4.06
Andhra Pradesh,16.29
Andhra Pradesh,14.46
Andhra Pradesh,0.85
Assam,4.29
Assam,5.08
Assam,4.26
Assam,5.79
Assam,4.46
Assam,4.65
Assam,4.66
Assam,4.29
Assam,3.26
Assam,3.77
Assam,9.38
Assam,0.0
Bihar,9.27
Bihar,10.2
Bihar,13.44
Bihar,11.0
Bihar,8.87
Bihar,12.47
Bihar,12.4
Bihar,10.16
Bihar,9.13
Bihar,9.61
Bihar,15.39
Bihar,45.09
Bihar,47.26
Bihar,20.49
Chhattisgarh,9.82
Chhattisgarh,6.76
Chhattisgarh,4.54
Chhattisgarh,4.64
Chhattisgarh,8.33
Chhattisgarh,6.96
Chhattisgarh,2.77
Chhattisgarh,6.11
Chhattisgarh,9.89
Chhattisgarh,7.89
Chhattisgarh,7.31
Chhattisgarh,0.0
Chhattisgarh,7.64
Chhattisgarh,10.14
Delhi,12.56
Delhi,9.33
Delhi,11.07
Delhi,17.18
Delhi,12.5
Delhi,15.84
Delhi,11.11
Delhi,16.97
Delhi,13.48
Delhi,13.81
Delhi,15.18
Delhi,20.69
Delhi,22.76
Delhi,21.14
Goa,2.91
Goa,5.45
Goa,10.98
Goa,1.98
Goa,3.61
Goa,7.21
Goa,23.71
Goa,3.54
Goa,5.38
Goa,0.0
Goa,15.91
Goa,20.0
Gujarat,2.88
Gujarat,4.77
Gujarat,4.58
Gujarat,3.7
Gujarat,6.29
Gujarat,4.91
Gujarat,4.68
Gujarat,3.46
Gujarat,5.35
Gujarat,6.64
Gujarat,7.59
Gujarat,12.0
Gujarat,14.58
Gujarat,1.41
Haryana,14.54
Haryana,23.08
Haryana,16.22
Haryana,30.94
Haryana,16.36
Haryana,24.17
Haryana,16.59
Haryana,29.56
Haryana,16.21
Haryana,27.19
Haryana,23.92
Haryana,41.61
Haryana,34.22
Haryana,35.57
Himachal Pradesh,13.68
Himachal Pradesh,11.43
Himachal Pradesh,20.59
Himachal Pradesh,18.56
Himachal Pradesh,15.98
Himachal Pradesh,15.81
Himachal Pradesh,22.86
Himachal Pradesh,19.46
Himachal Pradesh,16.67
Himachal Pradesh,15.42
Himachal Pradesh,17.71
Himachal Pradesh,2.13
Himachal Pradesh,25.64
Himachal Pradesh,1.12
Jammu & Kashmir,12.78
Jammu & Kashmir,12.09
Jammu & Kashmir,13.67
Jammu & Kashmir,11.32
Jammu & Kashmir,19.27
Jammu & Kashmir,14.73
Jammu & Kashmir,22.19
Jammu & Kashmir,21.23
Jammu & Kashmir,16.0
Jammu & Kashmir,2.22
Jammu & Kashmir,18.97
Jharkhand,7.11
Jharkhand,8.46
Jharkhand,9.98
Jharkhand,12.06
Jharkhand,7.12
Jharkhand,6.57
Jharkhand,8.07
Jharkhand,15.15
Jharkhand,6.16
Jharkhand,9.06
Jharkhand,5.01
Jharkhand,41.72
Jharkhand,55.1
Jharkhand,21.53
Karnataka,5.46
Karnataka,5.98
Karnataka,0.52
Karnataka,0.37
Karnataka,3.2
Karnataka,7.13
Karnataka,1.19
Karnataka,0.41
Karnataka,2.57
Karnataka,4.11
Karnataka,2.39
Karnataka,33.17
Karnataka,23.72
Karnataka,10.92
Kerala,6.63
Kerala,9.0
Kerala,4.95
Kerala,10.32
Kerala,5.35
Kerala,9.14
Kerala,5.0
Kerala,10.77
Kerala,4.11
Kerala,8.91
Kerala,8.85
Kerala,10.71
Kerala,23.38
Kerala,27.66
Madhya Pradesh,3.63
Madhya Pradesh,4.25
Madhya Pradesh,3.92
Madhya Pradesh,4.94
Madhya Pradesh,3.08
Madhya Pradesh,2.98
Madhya Pradesh,2.72
Madhya Pradesh,2.94
Madhya Pradesh,3.66
Madhya Pradesh,4.42
Madhya Pradesh,1.19
Madhya Pradesh,12.5
Madhya Pradesh,22.46
Madhya Pradesh,6.46
Maharashtra,3.67
Maharashtra,4.34
Maharashtra,3.66
Maharashtra,3.76
Maharashtra,4.4
Maharashtra,3.81
Maharashtra,3.68
Maharashtra,3.03
Maharashtra,3.8
Maharashtra,4.24
Maharashtra,5.38
Maharashtra,25.28
Maharashtra,16.89
Maharashtra,9.4
Meghalaya,3.16
Meghalaya,4.23
Meghalaya,1.03
Meghalaya,0.52
Meghalaya,0.24
Meghalaya,3.7
Meghalaya,1.5
Meghalaya,1.8
Meghalaya,0.97
Meghalaya,2.76
Meghalaya,1.28
Meghalaya,8.38
Meghalaya,3.73
Meghalaya,1.35
Odisha,4.17
Odisha,4.71
Odisha,3.31
Odisha,3.68
Odisha,4.31
Odisha,4.28
Odisha,4.72
Odisha,4.67
Odisha,1.81
Odisha,3.31
Odisha,15.09
Odisha,24.48
Odisha,9.45
Odisha,4.59
Puducherry,0.0
Puducherry,0.0
Puducherry,0.0
Puducherry,4.85
Puducherry,0.0
Puducherry,1.18
Puducherry,0.0
Puducherry,1.99
Puducherry,0.58
Puducherry,1.74
Puducherry,2.31
Puducherry,74.51
Punjab,9.17
Punjab,12.21
Punjab,9.64
Punjab,6.69
Punjab,8.59
Punjab,12.56
Punjab,7.07
Punjab,6.13
Punjab,9.69
Punjab,10.41
Punjab,10.51
Punjab,3.69
Punjab,40.59
Punjab,20.0
Rajasthan,4.03
Rajasthan,13.7
Rajasthan,9.7
Rajasthan,12.5
Rajasthan,5.45
Rajasthan,14.66
Rajasthan,10.47
Rajasthan,13.96
Rajasthan,8.0
Rajasthan,14.48
Rajasthan,9.47
Rajasthan,12.25
Rajasthan,10.45
Rajasthan,13.86
Sikkim,5.48
Sikkim,13.11
Sikkim,1.0
Sikkim,0.0
Sikkim,5.81
Tamil Nadu,0.97
Tamil Nadu,0.92
Tamil Nadu,6.01
Tamil Nadu,2.91
Tamil Nadu,1.71
Tamil Nadu,1.46
Tamil Nadu,2.46
Tamil Nadu,3.73
Tamil Nadu,1.18
Tamil Nadu,1.17
Tamil Nadu,6.36
Tamil Nadu,53.19
Tamil Nadu,38.73
Tamil Nadu,2.06
Telangana,2.23
Telangana,5.92
Telangana,2.45
Telangana,1.4
Telangana,5.49
Telangana,7.29
Telangana,6.47
Telangana,1.35
Telangana,5.02
Telangana,9.02
Telangana,5.63
Telangana,4.51
Telangana,34.01
Telangana,19.3
Tripura,29.25
Tripura,26.64
Tripura,22.47
Tripura,25.49
Tripura,30.23
Tripura,27.54
Tripura,25.25
Tripura,26.53
Tripura,31.91
Tripura,26.22
Tripura,31.61
Tripura,43.64
Tripura,14.71
Tripura,18.84
Uttar Pradesh,10.26
Uttar Pradesh,11.13
Uttar Pradesh,9.19
Uttar Pradesh,11.47
Uttar Pradesh,6.45
Uttar Pradesh,10.18
Uttar Pradesh,6.94
Uttar Pradesh,8.43
Uttar Pradesh,6.06
Uttar Pradesh,8.12
Uttar Pradesh,9.37
Uttar Pradesh,19.92
Uttar Pradesh,16.89
Uttar Pradesh,8.51
Uttarakhand,1.63
Uttarakhand,4.65
Uttarakhand,5.74
Uttarakhand,6.11
Uttarakhand,3.47
Uttarakhand,4.83
Uttarakhand,5.56
Uttarakhand,4.52
Uttarakhand,4.17
Uttarakhand,4.85
Uttarakhand,3.66
Uttarakhand,3.57
Uttarakhand,10.71
West Bengal,6.02
West Bengal,5.85
West Bengal,5.62
West Bengal,5.58
West Bengal,5.26
West Bengal,6.78
West Bengal,5.83
West Bengal,5.79
West Bengal,6.79
West Bengal,3.78
West Bengal,7.02
West Bengal,18.32
West Bengal,18.43
West Bengal,4.94
Andhra Pradesh,6.09
Andhra Pradesh,3.8
Andhra Pradesh,5.64
Andhra Pradesh,4.61
Andhra Pradesh,6.01
Andhra Pradesh,4.7
Andhra Pradesh,7.54
Andhra Pradesh,7.88
Andhra Pradesh,7.11
Andhra Pradesh,5.66
Andhra Pradesh,9.88
Andhra Pradesh,32.3
Andhra Pradesh,24.91
Andhra Pradesh,5.86
Assam,7.87
Assam,9.89
Assam,3.21
Assam,10.39
Assam,9.26
Assam,11.17
Assam,6.31
Assam,5.02
Assam,7.24
Assam,9.98
Assam,10.34
Assam,8.37
Assam,10.77
Assam,3.42
Bihar,19.9
Bihar,13.29
Bihar,16.41
